Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.288e-04,4.81656,4.99344
-5.286e-04,4.80719,4.99969
-5.284e-04,4.80719,5
-5.282e-04,4.79969,5.01531
-5.280e-04,4.8125,5.00063
-5.278e-04,4.81156,5
-5.276e-04,4.80438,5.00719
-5.274e-04,4.8075,4.99844
-5.272e-04,4.79719,4.99188
-5.270e-04,4.81531,5.00031
-5.268e-04,4.79719,5.005
-5.266e-04,4.81,5.01187
-5.264e-04,4.80687,5.00469
-5.262e-04,4.80469,4.99594
-5.260e-04,4.81906,5.0075
-5.258e-04,4.81094,5.01313
-5.256e-04,4.81,5.01969
-5.254e-04,4.80438,4.99688
-5.252e-04,4.81531,5.00313
-5.250e-04,4.81188,5.00719
-5.248e-04,4.82125,5.00313
-5.246e-04,4.81312,4.99906
-5.244e-04,4.81344,5.00844
-5.242e-04,4.82313,4.99938
-5.240e-04,4.81625,5.00969
-5.238e-04,4.81281,5.0125
-5.236e-04,4.81,5.00719
-5.234e-04,4.81281,5.00156
-5.232e-04,4.8075,5.00469
-5.230e-04,4.79906,5
-5.228e-04,4.80312,4.99531
-5.226e-04,4.82062,5.0125
-5.224e-04,4.81594,4.99688
-5.222e-04,4.80063,5.00313
-5.220e-04,4.80875,5.01406
-5.218e-04,4.81469,5.01
-5.216e-04,4.82188,5.015
-5.214e-04,4.82094,5.00063
-5.212e-04,4.82313,5.00219
-5.210e-04,4.82188,5.01031
-5.208e-04,4.82188,4.99719
-5.206e-04,4.80719,4.9975
-5.204e-04,4.81062,4.99625
-5.202e-04,4.80625,4.99656
-5.200e-04,4.81,5.00469
-5.198e-04,4.82687,4.98719
-5.196e-04,4.81031,5.01219
-5.194e-04,4.81656,5.01031
-5.192e-04,4.80813,4.98188
-5.190e-04,4.81906,5.03531
-5.188e-04,4.81406,5
-5.186e-04,4.81594,5.00781
-5.184e-04,4.81937,4.9975
-5.182e-04,4.81875,5.00313
-5.180e-04,4.82687,5.0025
-5.178e-04,4.80969,5.01031
-5.176e-04,4.81156,4.99563
-5.174e-04,4.81,5.00094
-5.172e-04,4.81562,4.99906
-5.170e-04,4.82687,4.99875
-5.168e-04,4.80375,5.00781
-5.166e-04,4.8175,5.00375
-5.164e-04,4.805,5.00656
-5.162e-04,4.8175,5.00969
-5.160e-04,4.81438,5.00281
-5.158e-04,4.805,4.99469
-5.156e-04,4.81906,4.99437
-5.154e-04,4.81594,5.00094
-5.152e-04,4.81937,4.99281
-5.150e-04,4.81719,5.00406
-5.148e-04,4.81937,4.99688
-5.146e-04,4.82219,4.99563
-5.144e-04,4.81875,5
-5.142e-04,4.815,4.99938
-5.140e-04,4.82125,4.9975
-5.138e-04,4.81344,4.99719
-5.136e-04,4.80813,5.00406
-5.134e-04,4.80906,4.99719
-5.132e-04,4.80563,4.99875
-5.130e-04,4.82375,4.99094
-5.128e-04,4.81594,5.00563
-5.126e-04,4.81531,4.99281
-5.124e-04,4.81906,5.00625
-5.122e-04,4.82344,5.01375
-5.120e-04,4.82031,5.00281
-5.118e-04,4.80906,4.99156
-5.116e-04,4.81438,4.99531
-5.114e-04,4.81312,5.00844
-5.112e-04,4.80938,4.995
-5.110e-04,4.80906,4.99
-5.108e-04,4.81281,5.00156
-5.106e-04,4.83719,5.00375
-5.104e-04,4.82313,5.00094
-5.102e-04,4.81844,4.99688
-5.100e-04,4.80813,5.02281
-5.098e-04,4.81625,4.99406
-5.096e-04,4.81094,4.98594
-5.094e-04,4.80813,5.00531
-5.092e-04,4.8125,4.99875
-5.090e-04,4.8075,4.99594
-5.088e-04,4.81062,4.99938
-5.086e-04,4.80469,5.01438
-5.084e-04,4.81062,4.99281
-5.082e-04,4.81031,5.00438
-5.080e-04,4.80594,5.01063
-5.078e-04,4.81781,5.00406
-5.076e-04,4.80875,4.99188
-5.074e-04,4.7975,4.99313
