Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.302e-04,4.69844,4.81875
-5.300e-04,4.68844,4.90125
-5.298e-04,4.70344,4.85781
-5.296e-04,4.695,4.85375
-5.294e-04,4.69375,4.85031
-5.292e-04,4.69437,4.85656
-5.290e-04,4.69313,4.86375
-5.288e-04,4.70094,4.85562
-5.286e-04,4.69937,4.87219
-5.284e-04,4.70031,4.865
-5.282e-04,4.68125,4.85906
-5.280e-04,4.69406,4.86344
-5.278e-04,4.7,4.85594
-5.276e-04,4.69062,4.87063
-5.274e-04,4.6975,4.865
-5.272e-04,4.7,4.85594
-5.270e-04,4.70406,4.92344
-5.268e-04,4.69313,4.77281
-5.266e-04,4.68719,4.88625
-5.264e-04,4.69906,4.85438
-5.262e-04,4.70406,4.86844
-5.260e-04,4.69937,4.85875
-5.258e-04,4.705,4.86438
-5.256e-04,4.69781,4.86531
-5.254e-04,4.69344,4.86375
-5.252e-04,4.69594,4.86719
-5.250e-04,4.68781,4.87563
-5.248e-04,4.70156,4.86063
-5.246e-04,4.7025,4.86313
-5.244e-04,4.68594,4.85656
-5.242e-04,4.69031,4.86438
-5.240e-04,4.7,4.87219
-5.238e-04,4.69688,4.87031
-5.236e-04,4.70312,4.86781
-5.234e-04,4.7,4.85656
-5.232e-04,4.69688,4.8675
-5.230e-04,4.69469,4.86969
-5.228e-04,4.69719,4.85938
-5.226e-04,4.70063,4.86313
-5.224e-04,4.68281,4.86031
-5.222e-04,4.69094,4.85938
-5.220e-04,4.69937,4.86469
-5.218e-04,4.69469,4.88188
-5.216e-04,4.70281,4.87406
-5.214e-04,4.68875,4.86
-5.212e-04,4.69094,4.86281
-5.210e-04,4.69406,4.80625
-5.208e-04,4.70063,4.92
-5.206e-04,4.70562,4.88313
-5.204e-04,4.70969,4.855
-5.202e-04,4.70562,4.86656
-5.200e-04,4.69937,4.86125
-5.198e-04,4.69281,4.86563
-5.196e-04,4.69281,4.8575
-5.194e-04,4.69562,4.86219
